"","Cell_type...128","predicted_RF","predicted_KNN","predicted_XGB","predicted_NB","all_predictions_same"
"GSM5491827_16.240","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491828_16.241","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL",TRUE
"GSM5491829_16.242","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491830_16.243","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491831_16.244","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL",TRUE
"GSM5491832_16.245","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL",TRUE
"GSM5491833_16.249","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491834_16.252","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL",TRUE
"GSM5491835_16.253","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491836_16.256","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL",TRUE
"GSM5491837_16.257","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491838_16.258","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491839_16.261","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491840_16.265","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491841_16.266","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491842_16.267","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491843_16.268","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491844_16.269","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491845_16.270","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491846_16.272","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491847_16.273","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491848_16.279","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491849_16.280","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491850_16.282","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491851_16.284","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491852_16.286","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491853_16.287","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491854_16.291","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491855_16.293","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491856_16.294","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491857_16.295","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491858_16.296","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL",TRUE
"GSM5491859_16.302","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491860_16.304","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491861_16.306","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491862_16.312","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491863_16.315","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491864_16.319","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491865_16.322","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491866_16.326","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491867_16.328","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491868_16.335","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491869_16.338","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491870_16.339","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491871_16.340","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL",TRUE
"GSM5491872_16.341","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491873_16.342","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491874_16.343","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491875_16.346","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491876_16.347","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491877_16.348","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491878_16.350","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491879_16.352","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491880_16.354","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491881_16.359","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491882_16.362","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL",TRUE
"GSM5491883_16.363","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491884_16.364","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491885_16.367","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL",TRUE
"GSM5491886_16.372","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491887_16.373","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL",TRUE
"GSM5491888_16.374","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491889_16.376","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491890_16.378","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_380","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_464","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_363","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_365","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_444","Unkown","T cell","9836/3 - Pre-B ALL","T cell","T cell",FALSE
"ALL_368","Unkown","T cell","9836/3 - Pre-B ALL","9837/3 - Pre-T ALL","T cell",FALSE
"ALL_358","Unkown","T cell","T cell","T cell","T cell",TRUE
"ALL_172","Unkown","9836/3 - Pre-B ALL","T cell","9837/3 - Pre-T ALL","9836/3 - Pre-B ALL",FALSE
"ALL_171","Unkown","T cell","9837/3 - Pre-T ALL","T cell","T cell",FALSE
"ALL_243","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_291","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","T cell",FALSE
"ALL_310","Unkown","T cell","9837/3 - Pre-T ALL","T cell","9837/3 - Pre-T ALL",FALSE
"ALL_546","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_563","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_553","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_555","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_559","Unkown","T cell","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL",FALSE
"ALL_458","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_391","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_459","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_402","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","T cell",FALSE
"ALL_5","Unkown","T cell","T cell","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_8","Unkown","T cell","T cell","T cell","T cell",TRUE
"ALL_502","Unkown","T cell","9837/3 - Pre-T ALL","T cell","T cell",FALSE
"ALL_486","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_537","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_495","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_542","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_205","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell",FALSE
"ALL_210","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_257","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_244","Unkown","T cell","T cell","T cell","T cell",TRUE
"ALL_467","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_472","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_466","Unkown","T cell","9837/3 - Pre-T ALL","T cell","9837/3 - Pre-T ALL",FALSE
"ALL_484","Unkown","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","T cell","9837/3 - Pre-T ALL",FALSE
"ALL_470","Unkown","T cell","T cell","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_475","Unkown","9836/3 - Pre-B ALL","T cell","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_290","Unkown","T cell","9836/3 - Pre-B ALL","T cell","T cell",FALSE
"ALL_295","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_299","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_268","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell",FALSE
"ALL_302","Unkown","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL","T cell",FALSE
"ALL_704","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_707","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_319","Unkown","T cell","T cell","T cell","T cell",TRUE
"ALL_686","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","T cell",FALSE
"ALL_695","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_633","Unkown","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","T cell","T cell",FALSE
"ALL_702","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_166","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_176","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_612","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_619","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_624","Unkown","T cell","T cell","T cell","T cell",TRUE
"ALL_626","Unkown","T cell","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_622","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_627","Unkown","T cell","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL",FALSE
"ALL_629","Unkown","T cell","T cell","T cell","T cell",TRUE
"ALL_631","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_656","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_634","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_740","Unkown","T cell","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_669","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_4","Unkown","T cell","9836/3 - Pre-B ALL","T cell","T cell",FALSE
"ALL_644","Unkown","T cell","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_49","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_678","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_679","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","T cell",FALSE
"ALL_422","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_372","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_300","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_367","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_314","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_376","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_442","Unkown","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",FALSE
"ALL_682","Unkown","T cell","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_683","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_750","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","T cell",FALSE
"ALL_713","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","T cell",FALSE
"ALL_735","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_680","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_681","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_738","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","T cell",FALSE
"ALL_734","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_689","Unkown","T cell","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_688","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_693","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_745","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_747","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_539","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_621","Unkown","9836/3 - Pre-B ALL","T cell","T cell","T cell",FALSE
"ALL_618","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_620","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_536","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_392","Unkown","T cell","T cell","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_431","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","T cell",FALSE
"ALL_390","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_528","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","T cell",FALSE
"ALL_504","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_460","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_646","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_665","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_613","Unkown","T cell","9836/3 - Pre-B ALL","T cell","T cell",FALSE
"ALL_489","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell",FALSE
"ALL_468","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_493","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_532","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_395","Unkown","T cell","9836/3 - Pre-B ALL","T cell","T cell",FALSE
"ALL_557","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","Controls","9836/3 - Pre-B ALL",FALSE
"ALL_373","Unkown","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",FALSE
"ALL_381","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_435","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","T cell",FALSE
"ALL_609","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_606","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_602","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","T cell",FALSE
"ALL_313","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_321","Unkown","T cell","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_317","Unkown","T cell","T cell","T cell","T cell",TRUE
"ALL_221","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_206","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_202","Unkown","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL","T cell",FALSE
"ALL_106","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_462","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_544","Unkown","T cell","T cell","Controls","9836/3 - Pre-B ALL",FALSE
"ALL_254","Unkown","T cell","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","T cell",FALSE
"ALL_262","Unkown","9836/3 - Pre-B ALL","T cell","9837/3 - Pre-T ALL","9836/3 - Pre-B ALL",FALSE
"ALL_312","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","Controls","9836/3 - Pre-B ALL",FALSE
"ALL_167","Unkown","9836/3 - Pre-B ALL","T cell","9837/3 - Pre-T ALL","9836/3 - Pre-B ALL",FALSE
"ALL_174","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
